"Código","Data","Cidade","Casos Confirmados","Casos Confirmados de Hoje","Pessoas Internadas","Pessoas Internadas Hoje","Pessoas Isoladas","Pessoas Isoladas Hoje","Pessoas Curadas","Pessoas Curadas Hoje","Óbitos","Óbitos de Hoje","Casos Suspeitos","Suspeitos Isolados","Suspeitos Internados","Óbitos Investigados","Casos Descartados","Casos Testados","Casos Testados Hoje","Estado"
1,10/3/2020,"Aracaju",0,0,0,0,0,0,0,0,0,0,2,25,0,0,2,0,0,"Sergipe"
2,11/3/2020,"Aracaju",0,0,0,0,0,0,0,0,0,0,2,31,0,0,2,0,0,"Sergipe"
3,14/3/2020,"Aracaju",1,1,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,"Sergipe"
4,14/3/2020,"Aracaju",1,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,"Sergipe"
5,15/3/2020,"Aracaju",1,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,"Sergipe"
6,17/3/2020,"Aracaju",5,4,0,0,0,0,0,0,0,0,2,0,0,0,14,0,0,"Sergipe"
7,18/3/2020,"Aracaju",5,0,0,0,0,0,0,0,0,0,14,0,0,0,20,0,0,"Sergipe"
8,19/3/2020,"Aracaju",5,0,0,0,0,0,0,0,0,0,5,0,0,0,30,0,0,"Sergipe"
9,20/3/2020,"Aracaju",5,0,0,0,0,0,0,0,0,0,11,0,0,0,33,0,0,"Sergipe"
10,21/3/2020,"Aracaju",7,2,0,0,0,0,0,0,0,0,6,0,0,0,40,0,0,"Sergipe"
11,23/3/2020,"Aracaju",7,0,0,0,0,0,0,0,0,0,15,0,0,0,46,0,0,"Sergipe"
12,24/3/2020,"Aracaju",12,5,0,0,0,0,0,0,0,0,9,0,0,0,66,0,0,"Sergipe"
13,25/3/2020,"Aracaju",13,1,0,0,0,0,0,0,0,0,17,0,0,0,88,0,0,"Sergipe"
14,27/3/2020,"Aracaju",13,0,0,0,0,0,0,0,0,0,16,0,0,0,128,0,0,"Sergipe"
15,28/3/2020,"Aracaju",13,0,0,0,0,0,0,0,0,0,18,0,0,0,142,0,0,"Sergipe"
16,30/3/2020,"Aracaju",15,2,0,0,0,0,0,0,0,0,33,0,0,0,146,0,0,"Sergipe"
17,1/4/2020,"Aracaju",17,2,0,0,0,0,6,6,0,0,32,0,0,0,177,0,0,"Sergipe"
18,1/4/2020,"Aracaju",19,2,0,0,0,0,6,0,0,0,35,0,0,0,178,0,0,"Sergipe"
19,2/4/2020,"Aracaju",20,1,0,0,0,0,6,0,2,2,0,0,0,0,179,0,0,"Sergipe"
20,4/4/2020,"Aracaju",23,3,0,0,0,0,12,6,2,0,0,0,0,0,223,0,0,"Sergipe"
21,4/4/2020,"Aracaju",27,4,0,0,0,0,12,0,3,1,0,0,0,0,239,0,0,"Sergipe"
22,6/4/2020,"Aracaju",27,0,0,0,0,0,12,0,4,1,32,0,0,0,0,0,0,"Sergipe"
23,7/4/2020,"Aracaju",30,3,0,0,0,0,14,2,4,0,34,0,0,0,0,0,0,"Sergipe"
24,8/4/2020,"Aracaju",32,2,0,0,0,0,14,0,4,0,33,0,0,0,0,0,0,"Sergipe"
25,9/4/2020,"Aracaju",32,0,0,0,0,0,14,0,4,0,20,0,0,0,0,0,0,"Sergipe"
26,10/4/2020,"Aracaju",33,1,0,0,0,0,15,1,4,0,30,0,0,0,0,0,0,"Sergipe"
27,11/4/2020,"Aracaju",35,2,0,0,0,0,17,2,4,0,6,0,0,0,0,0,0,"Sergipe"
28,12/4/2020,"Aracaju",35,0,0,0,0,0,17,0,0,-4,35,0,0,0,0,0,0,"Sergipe"
29,13/4/2020,"Aracaju",36,1,5,5,5,5,22,5,4,4,15,0,0,0,342,0,0,"Sergipe"
30,14/4/2020,"Aracaju",37,1,4,-1,7,2,22,0,4,0,24,19,5,4,364,425,425,"Sergipe"
31,15/4/2020,"Aracaju",37,0,6,2,5,-2,22,0,4,0,16,15,1,0,377,430,5,"Sergipe"
32,16/4/2020,"Aracaju",40,3,6,0,6,1,24,2,4,0,49,46,3,0,428,517,87,"Sergipe"
33,17/4/2020,"Aracaju",44,4,6,0,7,1,27,3,4,0,5,0,5,0,492,541,24,"Sergipe"
34,18/4/2020,"Aracaju",53,9,8,2,13,6,28,1,4,0,55,29,26,0,494,602,61,"Sergipe"
35,19/4/2020,"Aracaju",59,6,8,0,19,6,28,0,4,0,37,26,11,0,527,623,21,"Sergipe"
36,20/4/2020,"Aracaju",60,1,8,0,20,1,28,0,4,0,32,22,10,0,561,653,30,"Sergipe"
37,21/4/2020,"Aracaju",74,14,8,0,33,13,28,0,5,1,9,7,2,0,589,672,19,"Sergipe"
38,22/4/2020,"Aracaju",74,0,7,-1,33,0,29,1,5,0,13,12,1,0,684,771,99,"Sergipe"
39,24/4/2020,"Aracaju",95,21,9,2,50,17,31,2,5,0,25,16,9,0,837,957,186,"Sergipe"
40,26/4/2020,"Aracaju",115,20,10,1,64,14,35,4,6,1,51,43,8,0,950,1116,159,"Sergipe"
41,27/4/2020,"Aracaju",138,23,13,3,81,17,37,2,7,1,16,3,13,0,976,1130,14,"Sergipe"
42,28/4/2020,"Aracaju",189,51,16,3,128,47,38,1,7,0,6,1,5,0,1005,1200,70,"Sergipe"
43,29/4/2020,"Aracaju",220,31,15,-1,160,32,38,0,7,0,12,0,12,0,1018,1250,50,"Sergipe"
44,1/5/2020,"Aracaju",339,119,23,8,271,111,38,0,7,0,9,1,7,1,1149,1497,247,"Sergipe"
45,2/5/2020,"Aracaju",386,47,23,0,312,41,44,6,7,0,9,1,7,1,1189,1584,87,"Sergipe"
46,3/5/2020,"Aracaju",467,81,21,-2,395,83,44,0,7,0,9,3,6,0,1271,1747,163,"Sergipe"
47,5/5/2020,"Aracaju",599,132,30,9,493,98,68,24,8,1,20,1,17,2,1394,2013,266,"Sergipe"
48,6/5/2020,"Aracaju",670,71,35,5,557,64,68,0,10,2,16,1,15,0,1485,2171,158,"Sergipe"
49,7/5/2020,"Aracaju",832,162,38,3,705,148,79,11,10,0,18,1,16,1,1648,2493,322,"Sergipe"
50,8/5/2020,"Aracaju",1010,178,41,3,879,174,79,0,11,1,31,0,30,1,1751,2792,299,"Sergipe"
51,9/5/2020,"Aracaju",1112,102,43,2,975,96,81,2,13,2,35,1,33,1,1828,2975,183,"Sergipe"
52,10/5/2020,"Aracaju",1237,125,50,7,929,-46,245,164,13,0,40,2,37,1,1910,3187,212,"Sergipe"
53,11/5/2020,"Aracaju",1252,15,50,0,944,15,245,0,13,0,38,0,36,2,1946,3236,49,"Sergipe"
54,12/5/2020,"Aracaju",1413,161,58,8,1097,153,245,0,13,0,45,3,40,2,2051,3509,273,"Sergipe"
55,13/5/2020,"Aracaju",1564,151,56,-2,1152,55,341,96,15,2,48,2,44,2,2232,3844,335,"Sergipe"
56,14/5/2020,"Aracaju",1717,153,66,10,1292,140,341,0,18,3,49,2,46,1,2328,4094,250,"Sergipe"
57,15/5/2020,"Aracaju",1862,145,66,0,1359,67,417,76,19,1,63,0,62,1,2562,4451,357,"Sergipe"
58,16/5/2020,"Aracaju",2032,170,77,11,1076,-283,859,442,20,1,53,0,51,2,2693,4778,327,"Sergipe"
59,17/5/2020,"Aracaju",2108,76,77,0,1027,-49,981,122,23,3,59,0,57,2,2826,4993,215,"Sergipe"
60,18/5/2020,"Aracaju",2245,137,87,10,1153,126,981,0,24,1,59,0,67,2,2925,5239,246,"Sergipe"
61,19/5/2020,"Aracaju",2473,228,90,3,1375,222,981,0,27,3,83,0,81,2,2978,5534,295,"Sergipe"
62,20/5/2020,"Aracaju",2662,189,86,-4,1484,109,1063,82,29,2,93,0,92,1,3192,5947,413,"Sergipe"
63,21/5/2020,"Aracaju",2843,181,81,-5,814,-670,1915,852,33,4,83,0,82,1,3458,6384,437,"Sergipe"
64,22/5/2020,"Aracaju",2940,97,71,-10,916,102,1915,0,38,5,86,1,85,1,3555,6581,197,"Sergipe"
65,23/5/2020,"Aracaju",3066,126,77,6,1033,117,1915,0,41,3,91,0,91,0,3719,6876,295,"Sergipe"
66,24/5/2020,"Aracaju",3166,100,91,14,1116,83,1915,0,44,3,83,0,83,0,3815,7064,188,"Sergipe"
67,25/5/2020,"Aracaju",3239,73,92,1,1184,68,1915,0,48,4,95,0,94,1,3883,7217,153,"Sergipe"
68,26/5/2020,"Aracaju",3406,167,106,14,1331,147,1915,0,54,6,95,0,93,2,4030,7531,314,"Sergipe"
69,27/5/2020,"Aracaju",3492,86,110,4,1410,79,1915,0,57,3,113,0,110,3,4080,7685,154,"Sergipe"
70,28/5/2020,"Aracaju",3624,132,107,-3,1543,133,1915,0,59,2,130,7,123,0,4338,8092,407,"Sergipe"
71,29/5/2020,"Aracaju",3784,160,118,11,1176,-367,2425,510,65,6,125,0,125,0,4582,8491,399,"Sergipe"
72,30/5/2020,"Aracaju",3944,160,114,-4,1167,-9,2595,170,68,3,136,0,136,0,4688,8768,277,"Sergipe"
73,31/5/2020,"Aracaju",4061,117,134,20,1261,94,2595,0,71,3,119,0,119,0,4767,8947,179,"Sergipe"
74,1/6/2020,"Aracaju",4191,130,130,-4,1391,130,2595,0,75,4,152,0,152,0,4992,9335,388,"Sergipe"
75,2/6/2020,"Aracaju",4400,209,160,30,1566,175,2595,0,79,4,131,0,131,2,4992,9523,188,"Sergipe"
76,3/6/2020,"Aracaju",4581,181,141,-19,351,-1215,3854,1259,83,4,161,0,161,1,5319,10063,540,"Sergipe"
78,4/6/2020,"Aracaju",4738,157,188,47,611,260,3854,0,85,2,122,3,119,0,5433,10293,230,"Sergipe"
79,5/6/2020,"Aracaju",4940,202,199,11,797,186,3854,0,90,5,122,3,119,0,5607,10669,376,"Sergipe"
80,6/6/2020,"Aracaju",5123,183,203,4,972,175,3854,0,94,4,133,10,123,0,5698,10954,285,"Sergipe"
81,7/6/2020,"Aracaju",5296,173,199,-4,1104,132,3895,41,98,4,130,10,120,0,5745,11168,214,"Sergipe"
82,8/6/2020,"Aracaju",5572,276,202,3,1368,264,3895,0,107,9,108,3,105,0,5812,11492,324,"Sergipe"
83,9/6/2020,"Aracaju",5815,243,209,7,1598,230,3895,0,113,6,96,3,93,0,5912,11823,331,"Sergipe"
84,10/6/2020,"Aracaju",6079,264,215,6,1850,252,3895,0,119,6,114,15,99,0,5969,12161,338,"Sergipe"
85,11/6/2020,"Aracaju",6322,243,208,-7,1863,13,4123,228,128,9,118,14,104,0,6012,12452,291,"Sergipe"
86,12/6/2020,"Aracaju",6694,372,203,-5,1980,117,4377,254,135,7,113,14,99,0,6093,12900,448,"Sergipe"
87,13/6/2020,"Aracaju",7481,787,208,5,2473,493,4658,281,142,7,117,20,97,0,6189,13787,887,"Sergipe"
88,14/6/2020,"Aracaju",8193,712,224,16,2879,406,4941,283,149,7,119,17,102,0,6399,14711,924,"Sergipe"
89,15/6/2020,"Aracaju",9387,1194,228,4,3949,1070,5056,115,154,5,102,16,86,0,6721,16210,1499,"Sergipe"
90,16/6/2020,"Aracaju",9849,462,226,-2,4050,101,5413,357,160,6,93,16,77,0,6804,16746,536,"Sergipe"
91,17/6/2020,"Aracaju",10094,245,250,24,3948,-102,5731,318,165,5,76,14,62,0,6896,17039,293,"Sergipe"
92,18/6/2020,"Aracaju",10423,329,246,-4,4125,177,5879,148,173,8,89,14,75,0,6913,17425,386,"Sergipe"
93,19/6/2020,"Aracaju",10699,276,259,13,4183,58,6076,197,181,8,95,6,89,0,6962,17756,331,"Sergipe"
94,20/6/2020,"Aracaju",10992,293,260,1,4317,134,6220,144,195,14,101,6,95,0,6985,18078,322,"Sergipe"
